
{2014-01-02}
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3F-NM   R$', complany=LEVE3F-NM   R$, date=2014-01-08, openPrice=26.49, closePrice=26.63, percentage=0.0, minPrice=26.35, maxPrice=26.63, avgPrice=26.51, total=1.32} 
     DadosDoDia{name='SID NACIONAL'codNegociation='CSNA3F-R$', complany=CSNA3F-R$, date=2014-01-08, openPrice=14.14, closePrice=14.35, percentage=0.0, minPrice=14.05, maxPrice=14.37, avgPrice=14.18, total=21.31} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3F-NM   R$', complany=LREN3F-NM   R$, date=2014-01-08, openPrice=60.4, closePrice=60.5, percentage=0.0, minPrice=58.11, maxPrice=60.5, avgPrice=59.56, total=3.26} 
     DadosDoDia{name='LOJAS RENNER'codNegociation='LREN3-NM   R$', complany=LREN3-NM   R$, date=2014-01-08, openPrice=59.81, closePrice=60.05, percentage=0.0, minPrice=59.47, maxPrice=60.54, avgPrice=60.1, total=4537.0} 
     DadosDoDia{name='JSL'codNegociation='JSLG3F-NM   R$', complany=JSLG3F-NM   R$, date=2014-01-08, openPrice=16.0, closePrice=15.8, percentage=0.0, minPrice=15.8, maxPrice=16.0, avgPrice=15.83, total=0.31} 
     DadosDoDia{name='NATURA'codNegociation='NATU3-NM   R$', complany=NATU3-NM   R$, date=2014-01-08, openPrice=39.09, closePrice=38.78, percentage=0.0, minPrice=38.68, maxPrice=39.24, avgPrice=38.87, total=21624.0} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3-NM   R$', complany=CIEL3-NM   R$, date=2014-01-08, openPrice=68.25, closePrice=67.9, percentage=0.0, minPrice=67.9, maxPrice=68.81, avgPrice=68.36, total=38413.0} 
     DadosDoDia{name='METAL LEVE'codNegociation='LEVE3-NM   R$', complany=LEVE3-NM   R$, date=2014-01-08, openPrice=26.5, closePrice=26.72, percentage=0.0, minPrice=26.31, maxPrice=26.73, avgPrice=26.53, total=707.0} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3F-NM   R$', complany=UGPA3F-NM   R$, date=2014-01-08, openPrice=53.95, closePrice=55.24, percentage=0.0, minPrice=53.45, maxPrice=55.24, avgPrice=54.14, total=23.44} 
     DadosDoDia{name='GRENDENE'codNegociation='GRND3-NM   R$', complany=GRND3-NM   R$, date=2014-01-08, openPrice=18.75, closePrice=18.71, percentage=0.0, minPrice=18.62, maxPrice=18.91, avgPrice=18.74, total=3813.0} 
     DadosDoDia{name='GRENDENE'codNegociation='GRND3F-NM   R$', complany=GRND3F-NM   R$, date=2014-01-08, openPrice=18.95, closePrice=18.78, percentage=0.0, minPrice=18.61, maxPrice=18.95, avgPrice=18.78, total=12.82} 
     DadosDoDia{name='WEG'codNegociation='WEGE3F-NM   R$', complany=WEGE3F-NM   R$, date=2014-01-08, openPrice=30.46, closePrice=29.85, percentage=0.0, minPrice=29.64, maxPrice=30.49, avgPrice=29.94, total=8.67} 
     DadosDoDia{name='ULTRAPAR'codNegociation='UGPA3-NM   R$', complany=UGPA3-NM   R$, date=2014-01-08, openPrice=53.78, closePrice=54.35, percentage=0.0, minPrice=53.34, maxPrice=54.49, avgPrice=54.14, total=10051.0} 
     DadosDoDia{name='JSL'codNegociation='JSLG3-NM   R$', complany=JSLG3-NM   R$, date=2014-01-08, openPrice=15.97, closePrice=15.95, percentage=0.0, minPrice=15.79, maxPrice=15.97, avgPrice=15.88, total=998.0} 
     DadosDoDia{name='TELEF BRASIL'codNegociation='VIVT3-R$', complany=VIVT3-R$, date=2014-01-08, openPrice=40.49, closePrice=40.2, percentage=0.0, minPrice=40.2, maxPrice=41.2, avgPrice=40.54, total=326.0} 
     DadosDoDia{name='CIELO'codNegociation='CIEL3F-NM   R$', complany=CIEL3F-NM   R$, date=2014-01-08, openPrice=68.1, closePrice=68.4, percentage=0.0, minPrice=68.01, maxPrice=68.94, avgPrice=68.4, total=37.48} 
     DadosDoDia{name='WEG'codNegociation='WEGE3-NM   R$', complany=WEGE3-NM   R$, date=2014-01-08, openPrice=30.23, closePrice=29.74, percentage=0.0, minPrice=29.62, maxPrice=30.49, avgPrice=29.95, total=6426.0} 
{2014-01-09}
